modelid,vin,modelyear,stickerprice
1,1111111111111,2014,25000
1,222222222222,2015,26000
2,333333333333333,2015,18000
2,444444444,2016,18900
3,5555555555555,2014,24600
3,66666666666,2015,27300
4,777777777777,2016,28000
4,88888888888888,2014,32000
5,9999999999999,2015,16500
5,123123123123,2015,16950
6,234234234234,2016,29900
6,345345345345,2015,34000
7,456456456456,2016,35500
7,567567567567,2016,37900
8,678678678678,2014,39900
8,333444555666,2016,42500
9,5676756464546660,2016,27500
9,888999777555,2015,26900
10,987654321,2014,18900
10,7777777666666650,2016,22000
11,99999888887777,2016,32500
11,66677776667777,2015,27500
12,22222111111145500,2014,24500
12,45455554455555,2015,27900
13,6666666555533330,2016,25000
13,7777770000000000,2016,26500
14,90909090909,2016,19000
14,3147765432,2015,18500
15,6666666673333330,2016,32000
15,2223334445552110,2014,28000
16,445544334455,2016,41000
16,332211334455,2014,39500
2,778866445566,2016,21000
7,999888777666555,2016,36900
9,444443333322222,2014,29000
11,5432154321,2015,38500
